Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,lattitude,longitude
High Risk,Downtown,1007 1st Ave,1901,4,Visible retrofit,Commercial/Residential,101+,Google Street View-Rosettes,47.6048834,-122.3367716
High Risk,Downtown,1008 Western Ave,1905,6,Visible retrofit,Commercial/Office,101+,Field Visit,34.0523711,-118.3090618
Medium Risk,Downtown,1012 1st Ave,1900,5,Substantial Alteration,Commercial/Office,101+,Permit Drawing Review,34.1505322,-118.0278717
High Risk,Downtown,1015 1st Ave,1901,4,Visible retrofit,Commercial/Residential,101+,Google Street View-Rosettes,34.1506265,-118.0289271
Medium Risk,Downtown,1018 1st Ave,1890,5,Permitted Retrofit,Commercial/Office,101+,Google Street View,32.6988136,-117.1729572
High Risk,Downtown,1023 1st Ave,1901,6,Visible retrofit,Commercial/Residential,101+,Google Street View-Rosettes,33.7675371,-118.1801485
Medium Risk,Downtown,103 Pike St,1910,3,Substantial Alteration,Commercial/Residential,101+,Google Street View,47.6087949,-122.3397431
Medium Risk,Downtown,107 Pine St,1900,4,Substantial Alteration,Commercial/Residential,101+,Google Street View,38.3485275,-121.9950066
Medium Risk,Downtown,110 Cherry St,1903,3,No visible retrofit,Commercial,11-100,Google Street View,37.7893674,-122.457096
Medium Risk,Downtown,110 Union St,1910,5,Permitted Retrofit,Commercial/Office,101+,Google Street View,38.089931,-122.236835
Medium Risk,Downtown,1119 1st Ave,1892,5,Permitted Retrofit,Commercial/Residential,101+,Google Street View,47.6115014,-122.34335
High Risk,Downtown,114 Pike St,1924,2,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,33.9035231,-117.5007254
Medium Risk,Downtown,115 Cherry St,1900,7,No visible retrofit,Commercial/Office,101+,Photos from Previous Surveys,37.7892684,-122.4575383
Medium Risk,Downtown,120 Pike St,1904,7,Substantial Alteration,Commercial,101+,Permit Drawing Review,39.224224,-84.442673
Medium Risk,Downtown,1201 2nd Ave,1900,2,Visible retrofit,Commercial/Office,101+,Google Street View-Rosettes,37.5725918,-122.3151108
High Risk,Downtown,1201 Western Ave,1910,5,Visible retrofit,Commercial,101+,Google Street View-Rosettes,34.0491523,-118.309378
Medium Risk,Downtown,1206 1st Ave,1900,2,No visible retrofit,Commercial,11-100,Permit Drawing Review,32.6120567,-117.0597555
Medium Risk,Downtown,121 Stewart St,1914,2,Permitted Retrofit,Commercial/Office,101+,Google Street View,44.2969952,-78.3252347
Medium Risk,Downtown,1216 1st Ave,1900,4,No visible retrofit,Commercial/Residential,101+,Google Street View,33.7453075,-117.8840179
Medium Risk,Downtown,1221 2nd Ave,1906,6,Visible retrofit,Commercial/Office,101+,Google Street View-Rosettes,32.610482,-117.0630196
Medium Risk,Downtown,1315 1st Ave,1900,3,Substantial Alteration,Residential,101+,Permit Drawing Review,40.766938,-73.956929
Medium Risk,Downtown,1319 Western Ave,1900,1,Permitted Retrofit,Commercial,11-100,Google Street View,34.9662991,-120.4503228
Medium Risk,Downtown,1400 Western Ave,1915,4,Visible retrofit,Commercial/Residential,101+,Google Street View-Rosettes,34.0460979,-118.3088656
High Risk,Downtown,1413 3rd Ave,1907,3,Visible retrofit,Public Assembly,101+,Google Street View-Rosettes,34.0154757,-118.4954237
High Risk,Downtown,1414 Alaskan Way,1909,4,Visible retrofit,Commercial/Office,101+,Google Street View,47.6076192,-122.3409842
Medium Risk,Downtown,1416 3rd Ave,1902,3,Substantial Alteration,Commercial/Office,101+,Permit Drawing Review,34.045628,-118.319719
High Risk,Downtown,1423 1st Ave,1900,2,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,34.142468,-117.974752
Medium Risk,Downtown,1423 4th Ave,1909,2,No visible retrofit,Commercial,11-100,Permit Drawing Review,37.7969425,-122.2543773
High Risk,Downtown,1426 1st Ave,1916,2,Visible retrofit,Public Assembly,101+,Google Street View,47.6085565,-122.3393269
High Risk,Downtown,1507 Western Ave,1910,6,No visible retrofit,Commercial/Residential,11-100,Google Street View,34.1801279,-118.2806327
High Risk,Downtown,1510 1st Ave,1923,2,No visible retrofit,Public Assembly,101+,Google Street View,34.1422436,-117.9727444
Medium Risk,Downtown,1513 1st Ave,1942,4,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,34.1227376,-118.0283748
Medium Risk,Downtown,1513 3rd Ave,1920,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,37.9194457,-122.0659624
Medium Risk,Downtown,1516 2nd Ave,1906,4,Visible retrofit,Commercial/Office,101+,Google Street View,34.044893,-118.3185697
Medium Risk,Downtown,1518 Pike Pl,1910,2,Substantial Alteration,Commercial,11-100,Permit Drawing Review,47.6092061,-122.3412533
Medium Risk,Downtown,1520 4th Ave,1907,6,No visible retrofit,Commercial/Office,101+,Permit Drawing Review,37.9739482,-122.5341583
Medium Risk,Downtown,1534 Pike Pl,1910,3,Substantial Alteration,Commercial/Residential,11-100,Google Street View,47.6093983,-122.3414179
Medium Risk,Downtown,1600 1st Ave,1909,6,No visible retrofit,Commercial/Residential,101+,Google Street View,34.915587,-117.014797
Medium Risk,Downtown,213 Cherry St,1900,5,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.6031771,-122.3324351
Medium Risk,Downtown,216 James St,1910,7,Visible retrofit,Other Mixed Uses,101+,Google Street View,36.778261,-119.4179324
Medium Risk,Downtown,410 4th Ave,1909,6,No visible retrofit,Residential,101+,Google Street View,34.0373722,-117.9896275
Medium Risk,Downtown,509 3rd Ave,1908,7,Substantial Alteration,Other Mixed Uses,101+,Photos from Previous Surveys,33.8565041,-118.3940942
Medium Risk,Downtown,521 3rd Ave,1900,4,No visible retrofit,Commercial/Residential,101+,Photos from Previous Surveys,37.778718,-122.461217
Medium Risk,Downtown,524 2nd Ave,1900,5,Permitted Retrofit,Commercial/Office,101+,Google Street View,37.77875,-122.4595838
Medium Risk,Downtown,600 Western Ave,1913,3,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,37.102239,-122.107596
High Risk,Downtown,605 1st Ave,1900,6,Visible retrofit,Commercial/Office,101+,Google Street View,34.1010149,-117.6499245
High Risk,Downtown,606 1st Ave,1892,6,Permitted Retrofit,Public Assembly,101+,Field Visit,34.1332116,-118.0279632
Medium Risk,Downtown,606 2nd Ave,1900,6,Permitted Retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,37.7772299,-122.4594854
High Risk,Downtown,606 Post Ave,1900,5,Visible retrofit,Commercial/Residential,11-100,Google Street View,37.7883788,-122.4099707
Medium Risk,Downtown,614 1st Ave,1902,3,Visible retrofit,Commercial/Office,101+,Field Visit,47.602375,-122.333654
Medium Risk,Downtown,616 1st Ave,1902,7,Visible retrofit,Commercial/Office,101+,Field Visit,36.778261,-119.4179324
Medium Risk,Downtown,619 3rd Ave,1911,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View,38.2987778,-122.2795003
High Risk,Downtown,619 Post Ave,1901,5,Permitted Retrofit,Commercial,11-100,Google Street View,37.7876663,-122.4121094
High Risk,Downtown,625 1st Ave,1900,4,Permitted Retrofit,Commercial/Office,11-100,Google Street View,47.6023662,-122.3345875
Medium Risk,Downtown,627 1st Ave,1908,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View,38.3010092,-122.2814164
High Risk,Downtown,809 Western Ave,1906,4,Substantial Alteration,Commercial,11-100,Google Street View,33.8206125,-118.0023917
High Risk,Downtown,810 4th Ave,1907,6,No visible retrofit,Public Assembly,101+,Google Street View,34.0241253,-118.5047109
High Risk,Downtown,811 1st Ave,1900,6,Permitted Retrofit,Commercial/Office,101+,Google Street View,39.7329419,-121.8568615
Medium Risk,Downtown,811 5th Ave,1902,5,Substantial Alteration,Public Assembly,11-100,Permit Drawing Review,37.6353602,-121.0033551
High Risk,Downtown,83 Columbia St,1914,4,No visible retrofit,Commercial/Office,101+,Sandborn Insurance Maps,28.5282681,-81.3798954
High Risk,Duwamish/SODO,100 S King St,1907,6,Permitted Retrofit,Commercial/Office,101+,Field Visit,47.5985693,-122.3338008
High Risk,Duwamish/SODO,1000 1st Ave S,1910,6,Substantial Alteration,Commercial/Office,101+,Google Street View,47.5939682,-122.3337333
Medium Risk,Duwamish/SODO,1003 6th Ave S,1928,2,Permitted Retrofit,Commercial,11-100,Google Street View,39.925608,-122.1831636
High Risk,Duwamish/SODO,1014 1st Ave S,1907,4,Substantial Alteration,Commercial/Office,11-100,Google Street View,47.5936131,-122.3336964
Critical Risk,Duwamish/SODO,1022 1st Ave S,1909,4,Permitted Retrofit,Schools,11-100,Google Street View,36.778261,-119.4179324
High Risk,Duwamish/SODO,111 S Jackson St,1904,5,Permitted Retrofit,Commercial,101+,Google Street View,47.5990148,-122.3338371
Medium Risk,Duwamish/SODO,115 S Jackson St,1900,2,No visible retrofit,Commercial/Office,101+,Google Street View,36.6056369,-118.062632
High Risk,Duwamish/SODO,1201 1st Ave S,1914,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review,47.592012,-122.3348888
Medium Risk,Duwamish/SODO,123 S Jackson St,1902,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.599094,-122.3332075
High Risk,Duwamish/SODO,1518 1st Ave S,1907,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View,47.5896176,-122.3336874
High Risk,Duwamish/SODO,1530 1st Ave S,1937,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,47.589271,-122.333689
Medium Risk,Duwamish/SODO,1534 1st Ave S,1928,2,No visible retrofit,Commercial/Office,101+,Google Street View,33.765954,-118.1727249
Medium Risk,Duwamish/SODO,1563 6th Ave S,1931,1,No visible retrofit,Commercial,11-100,Google Street View,36.778261,-119.4179324
High Risk,Duwamish/SODO,166 S King St,1907,7,Permitted Retrofit,Commercial/Office,101+,Permit Drawing Review,21.2980804,-157.8390894
High Risk,Duwamish/SODO,1700 1st Ave S,1935,2,Permitted Retrofit,Public Assembly,101+,Google Street View,47.587935,-122.3336919
Medium Risk,Duwamish/SODO,1701 1st Ave S,1910,3,No visible retrofit,Commercial/Office,11-100,Google Street View,47.5878784,-122.3345892
High Risk,Duwamish/SODO,171 S Jackson St,1900,5,Permitted Retrofit,Commercial,101+,Google Street View,36.8018684,-118.1981456
Medium Risk,Duwamish/SODO,1728 4th Ave S,1946,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,47.5873125,-122.3287817
Medium Risk,Duwamish/SODO,1956 1st Ave S,1930,1,Substantial Alteration,Commercial,11-100,Photos from Previous Surveys,47.5843895,-122.3337112
High Risk,Duwamish/SODO,2200 1st Ave S,1900,4,Permitted Retrofit,Office,101+,Google Street View,47.5836025,-122.3336934
Medium Risk,Duwamish/SODO,2244 1st Ave S,1918,1,Permitted Retrofit,Commercial,11-100,Field Visit,47.5827618,-122.3337169
Medium Risk,Duwamish/SODO,2424 1st Ave S,1918,1,Permitted Retrofit,Commercial,11-100,Permit Drawing Review,47.5810396,-122.3337507
Medium Risk,Duwamish/SODO,2440 1st Ave S,1927,1,Visible retrofit,Commercial,101+,Google Street View,47.5806688,-122.333909
Medium Risk,Duwamish/SODO,2450 1st Ave S,1937,1,No visible retrofit,Commercial,11-100,Field Visit,27.7698547,-82.666783
Medium Risk,Duwamish/SODO,2724 1st Ave S,1926,1,No visible retrofit,Commercial/Office,11-100,Field Visit,47.5789121,-122.3337136
Medium Risk,Duwamish/SODO,2724 6th Ave S,1910,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View,47.578602,-122.3254665
High Risk,Duwamish/SODO,2901 1st Ave S,1927,1,Permitted Retrofit,Public Assembly,101+,Field Visit,47.5775355,-122.334701
High Risk,Duwamish/SODO,2915 1st Ave S,1929,2,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,47.5771852,-122.3346493
Medium Risk,Duwamish/SODO,3100 Airport Way S,1890,3,Substantial Alteration,Commercial,11-100,Field Visit,37.793017,-121.2516697
High Risk,Duwamish/SODO,3100 Airport Way S,1890,4,Substantial Alteration,Commercial,11-100,Field Visit,37.793017,-121.2516697
High Risk,Duwamish/SODO,3100 Airport Way S,1939,7,Substantial Alteration,Residential,101+,Permit Drawing Review,37.793017,-121.2516697
High Risk,Duwamish/SODO,3100 Airport Way S,1890,4,No visible retrofit,Commercial,11-100,Field Visit,37.793017,-121.2516697
Medium Risk,Duwamish/SODO,3100 Airport Way S,1890,3,No visible retrofit,Commercial,11-100,Field Visit,37.793017,-121.2516697
Medium Risk,Duwamish/SODO,3100 Airport Way S,1920,2,No visible retrofit,Office,11-100,Field Visit,37.793017,-121.2516697
Medium Risk,Duwamish/SODO,3100 Airport Way S,1900,2,No visible retrofit,Commercial,11-100,Field Visit,37.793017,-121.2516697
Medium Risk,Duwamish/SODO,3100 Airport Way S,1890,2,No visible retrofit,Commercial,11-100,Field Visit,37.793017,-121.2516697
Medium Risk,Duwamish/SODO,3100 Airport Way S,1890,2,No visible retrofit,Commercial,11-100,Field Visit,37.793017,-121.2516697
Medium Risk,Duwamish/SODO,3100 Airport Way S,1900,2,No visible retrofit,Commercial,11-100,Field Visit,37.793017,-121.2516697
Medium Risk,Duwamish/SODO,3100 Airport Way S,1920,1,No visible retrofit,Office,11-100,Field Visit,37.793017,-121.2516697
High Risk,Duwamish/SODO,3100 Airport Way S,1920,1,No visible retrofit,Public Assembly,101+,Sandborn Insurance Maps,37.793017,-121.2516697
Medium Risk,Duwamish/SODO,3100 Airport Way S,1890,3,No visible retrofit,Industrial,10-Jan,Field Visit,37.793017,-121.2516697
Medium Risk,Duwamish/SODO,3200 4th Ave S,1928,1,No visible retrofit,Commercial,11-100,Google Street View,32.7389337,-117.1616665
Medium Risk,Duwamish/SODO,3207 1st Ave S,1917,1,No visible retrofit,Commercial,11-100,Field Visit,47.575237,-122.3344673
Medium Risk,Duwamish/SODO,3220 1st Ave S,1918,2,Visible retrofit,Commercial/Office,101+,Google Street View,32.7389623,-117.1642039
Medium Risk,Duwamish/SODO,3300 Airport Way S,1957,1,No visible retrofit,Office,11-100,Google Street View,37.920067,-121.2621153
Medium Risk,Duwamish/SODO,3667 1st Ave S,1948,1,No visible retrofit,Commercial,11-100,Google Street View,47.5693139,-122.3348478
Medium Risk,Duwamish/SODO,3909 Airport Way S,1908,2,No visible retrofit,Other Mixed Uses,11-100,Google Street View,37.8061521,-121.2528485
Medium Risk,Duwamish/SODO,3913 Airport Way S,1922,1,No visible retrofit,Industrial,10-Jan,Google Street View,37.8061537,-121.2528486
High Risk,Duwamish/SODO,400 Occidental Ave S,1900,6,Substantial Alteration,Commercial/Office,101+,Google Street View,34.0658869,-118.2825819
Medium Risk,Duwamish/SODO,4000 Airport Way S,1926,1,No visible retrofit,Office,10-Jan,Sandborn Insurance Maps,37.7928638,-121.2516692
Medium Risk,Duwamish/SODO,4003 Airport Way S,1911,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,37.8061907,-121.2528501
Medium Risk,Duwamish/SODO,4025 7th Ave S,1906,2,No visible retrofit,Industrial,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Duwamish/SODO,4100 1st Ave S,1941,2,No visible retrofit,Commercial,11-100,Google Street View,47.5669899,-122.3336225
High Risk,Duwamish/SODO,411 1st Ave S,1913,7,Permitted Retrofit,Commercial/Office,101+,Permit Drawing Review,47.5988359,-122.3345846
High Risk,Duwamish/SODO,419 Occidental Ave S,1906,7,Substantial Alteration,Commercial/Office,101+,Field Visit,47.5985472,-122.3333279
High Risk,Duwamish/SODO,303 S Jackson St,1906,3,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,47.5983889,-122.3299086
Medium Risk,Duwamish/SODO,4715 6th Ave S,1914,2,No visible retrofit,Industrial,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Duwamish/SODO,4786 1st Ave S,1937,1,No visible retrofit,Industrial,11-100,Google Street View,47.5586602,-122.3332304
Medium Risk,Duwamish/SODO,4809 Airport Way S,1942,1,No visible retrofit,Industrial,10-Jan,Google Street View,37.8982545,-121.2544138
Medium Risk,Duwamish/SODO,5021 Colorado Ave S,1930,1,No visible retrofit,Commercial,11-100,Field Visit,47.556658,-122.3376124
Medium Risk,Duwamish/SODO,5050 1st Ave S,1938,1,Substantial Alteration,Office,11-100,Google Street View,27.7697167,-82.7020432
High Risk,Duwamish/SODO,526 1st Ave S,1909,5,Permitted Retrofit,Commercial/Residential,101+,Permit Drawing Review,47.5975638,-122.3337071
Medium Risk,Duwamish/SODO,5300 Denver Ave S,1953,1,No visible retrofit,Office,11-100,Google Street View,47.5548466,-122.3249779
High Risk,Duwamish/SODO,542 1st Ave S,1904,4,Permitted Retrofit,Commercial/Office,101+,Google Street View,47.5969411,-122.3338065
High Risk,Duwamish/SODO,548 1st Ave S,1904,4,Permitted Retrofit,Industrial,11-100,Google Street View,47.5049191,-122.3336476
High Risk,Duwamish/SODO,55 S Atlantic St,1904,4,Permitted Retrofit,Commercial/Office,101+,Google Street View,47.5899333,-122.3362513
Medium Risk,Duwamish/SODO,553 1st Ave S,1910,3,No visible retrofit,Commercial/Office,11-100,Google Street View,44.8819995,-93.0345409
High Risk,Duwamish/SODO,562 1st Ave S,1909,7,No visible retrofit,Commercial/Office,11-100,Google Street View,47.5964443,-122.3338358
Medium Risk,Duwamish/SODO,590 1st Ave S,1903,2,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,47.595985,-122.3335761
Medium Risk,Duwamish/SODO,617 S Dearborn St,1915,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,41.874063,-87.628906
Medium Risk,Duwamish/SODO,655 S Edmunds St,1930,1,No visible retrofit,Industrial,10-Jan,Google Street View,47.559408,-122.3244804
Medium Risk,Duwamish/SODO,804 6th Ave S,1924,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps,33.9961713,-118.4691285
Medium Risk,Duwamish/SODO,820 1st Ave S,1920,2,No visible retrofit,Commercial/Office,11-100,Google Street View,34.1306826,-118.0278984
Medium Risk,Duwamish/SODO,83 S Jackson St,1909,3,Permitted Retrofit,Commercial/Office,101+,Permit Drawing Review,36.6056447,-118.0626108
High Risk,Duwamish/SODO,83 S King St,1904,7,Permitted Retrofit,Commercial/Office,101+,Permit Drawing Review,47.5979523,-122.3349437
Medium Risk,Duwamish/SODO,85 S Atlantic St,1937,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,28.3169568,-80.6084374
Medium Risk,Duwamish/SODO,85 S Lander St,1926,1,No visible retrofit,Commercial,11-100,Field Visit,47.57959,-122.334705
High Risk,Duwamish/SODO,900 1st Ave S,1904,4,No visible retrofit,Commercial/Office,101+,Google Street View,34.1302853,-118.0278946
High Risk,Duwamish/SODO,97 S Jackson St,1905,5,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,47.5990157,-122.3347561
Medium Risk,Fauntleroy/Seaview,8603 Fauntleroy Way SW,1940,1,No visible retrofit,Government,11-100,Field Visit,47.5304275,-122.4009078
Medium Risk,Fauntleroy/Seaview,8603 Fauntleroy Way SW,1940,1,No visible retrofit,Government,10-Jan,Field Visit,47.5304275,-122.4009078
Medium Risk,Fauntleroy/Seaview,6045 California Ave SW,1926,1,No visible retrofit,Commercial,10-Jan,Field Visit,47.5471607,-122.3873814
Medium Risk,Fauntleroy/Seaview,6056 California Ave SW,1926,1,No visible retrofit,Office,10-Jan,Sandborn Insurance Maps,47.546957,-122.3867171
High Risk,Fauntleroy/Seaview,6459 California Ave SW,1928,1,No visible retrofit,Public Assembly,101+,Field Visit,47.5450917,-122.3875964
Medium Risk,Fauntleroy/Seaview,6501 California Ave SW,1920,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.5446769,-122.387478
Medium Risk,Fauntleroy/Seaview,7101 California Ave SW,1926,1,No visible retrofit,Residential,11-100,Google Street View,47.5397281,-122.387502
Medium Risk,Fauntleroy/Seaview,7124 47th Ave SW,1907,3,No visible retrofit,Office,11-100,Photos from Previous Surveys,47.5389252,-122.392973
Critical Risk,Fauntleroy/Seaview,4320 SW Myrtle St,1910,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.54026,-122.3891261
Critical Risk,Fauntleroy/Seaview,9131 California Ave SW,1917,1,Permitted Retrofit,Schools,11-100,Permit Drawing Review,47.521872,-122.387914
Medium Risk,Fauntleroy/Seaview,9251 45th Ave SW,1926,1,No visible retrofit,Commercial,11-100,Google Street View,47.5207186,-122.3904327
Medium Risk,First Hill,1000 Madison St,1930,2,No visible retrofit,Commercial,11-100,Field Visit,37.3482089,-121.9495997
Medium Risk,First Hill,1005 Terry Ave,1908,7,No visible retrofit,Residential,101+,Google Street View,43.4885971,-112.0050973
Medium Risk,First Hill,1006 Spring St,1928,10,No visible retrofit,Residential,101+,Field Visit,47.6098027,-122.3266633
Medium Risk,First Hill,1016 Madison St,1929,1,No visible retrofit,Commercial,101+,Field Visit,35.7705642,-119.2401826
Medium Risk,First Hill,1017 Boren Ave,1925,5,No visible retrofit,Residential,101+,Google Street View,47.6097749,-122.3259523
Medium Risk,First Hill,1018 9th Ave,1923,5,No visible retrofit,Residential,101+,Google Street View,33.8845087,-118.3975628
Medium Risk,First Hill,1019 Terry Ave,1924,6,Permitted Retrofit,Residential,101+,Google Street View,47.6093288,-122.3270876
Medium Risk,First Hill,1020 Seneca St,1925,6,No visible retrofit,Residential,101+,Google Street View,47.6107253,-122.3270119
Medium Risk,First Hill,104 12th Ave,1926,2,Permitted Retrofit,Commercial,11-100,Google Street View,40.7423471,-74.1920116
Medium Risk,First Hill,105 14th Ave,1910,3,Permitted Retrofit,Office,101+,Google Street View,33.1099489,-117.0728575
High Risk,First Hill,1100 Pike St,1908,3,Substantial Alteration,Public Assembly,101+,Google Street View,38.7817434,-90.4972005
High Risk,First Hill,1119 8th Ave,1916,3,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,37.9314006,-121.2697506
Medium Risk,First Hill,1203 James St,1925,3,No visible retrofit,Residential,11-100,Permit Drawing Review,47.6068627,-122.3210656
Medium Risk,First Hill,1210 9th Ave,1945,3,No visible retrofit,Office,101+,Sandborn Insurance Maps,37.7698083,-122.2703734
Medium Risk,First Hill,1218 Terry Ave,1925,5,No visible retrofit,Office,101+,Google Street View,47.6110253,-122.3276899
Medium Risk,First Hill,124 13th Ave,1918,4,Substantial Alteration,Residential,11-100,Google Street View,37.5567731,-122.3150699
Medium Risk,First Hill,1317 Boren Ave,1925,5,No visible retrofit,Residential,11-100,Permit Drawing Review,47.6120545,-122.3277506
Medium Risk,First Hill,1400 Boren Ave,1925,4,No visible retrofit,Residential,101+,Field Visit,47.6128097,-122.3277334
Medium Risk,First Hill,1420 Boren Ave,1925,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.6131795,-122.3282182
Medium Risk,First Hill,1431 Minor Ave,1909,7,Permitted Retrofit,Residential,101+,Google Street View,47.6135935,-122.327754
Medium Risk,First Hill,151 11th Ave,1901,4,No visible retrofit,Residential,101+,Google Street View,32.9547594,-117.2654093
Medium Risk,First Hill,1512 5th Ave,1904,4,No visible retrofit,Commercial,11-100,Permit Drawing Review,37.9750248,-122.5339635
Medium Risk,First Hill,1520 5th Ave,1900,3,No visible retrofit,Commercial/Office,11-100,Permit Drawing Review,34.122529,-118.019821
High Risk,First Hill,160 Broadway,1922,2,No visible retrofit,Public Assembly,101+,Field Visit,37.9331684,-122.3451596
Medium Risk,First Hill,420 Terry Ave,1925,4,Permitted Retrofit,Residential,11-100,Google Street View-Rosettes,37.776026,-122.3877395
Medium Risk,First Hill,423 Terry Ave,1911,5,Substantial Alteration,Residential,11-100,Google Street View,47.6049728,-122.3232599
Medium Risk,First Hill,452 12th Ave,1923,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,37.7797125,-122.4705184
Medium Risk,First Hill,510 Broadway,1908,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,37.0142227,-121.5792534
Medium Risk,First Hill,517 9th Ave,1930,4,No visible retrofit,Residential,11-100,Google Street View,37.5629539,-122.3162193
High Risk,First Hill,613 9th Ave,1886,2,No visible retrofit,Public Assembly,101+,Field Visit,36.778261,-119.4179324
High Risk,First Hill,615 8th Ave,1929,1,No visible retrofit,Public Assembly,101+,Sandborn Insurance Maps,37.7767851,-122.4662952
Medium Risk,First Hill,703 Columbia St,1906,3,Visible retrofit,Office,11-100,Google Street View,36.9582962,-122.0339674
High Risk,First Hill,803 Terry Ave,1912,4,Visible retrofit,Public Assembly,101+,Field Visit,47.6113394,-122.328504
Medium Risk,First Hill,804 9th Ave,1910,3,No visible retrofit,Residential,11-100,Permit Drawing Review,38.5488726,-121.5093211
High Risk,First Hill,805 Marion St,1920,4,No visible retrofit,Residential,11-100,Google Street View,37.7404875,-88.9334776
High Risk,First Hill,808 9th Ave,1904,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,38.5488148,-121.5091426
High Risk,First Hill,821 9th Ave,1929,5,No visible retrofit,Residential,11-100,Google Street View,38.5529909,-121.7411635
Medium Risk,First Hill,823 Madison St,1902,4,No visible retrofit,Commercial/Residential,101+,Permit Drawing Review,37.8912802,-122.3009409
Medium Risk,First Hill,900 12th Ave,1923,2,No visible retrofit,Commercial/Office,11-100,Google Street View,38.580619,-121.4905341
Medium Risk,First Hill,901 6th Ave,1907,7,Permitted Retrofit,Residential,11-100,Field Visit,34.0250569,-117.9901071
Medium Risk,First Hill,901 Madison St,1908,1,No visible retrofit,Commercial,11-100,Google Street View,38.245689,-122.6337936
Medium Risk,First Hill,903 9th Ave,1906,4,No visible retrofit,Residential,11-100,Google Street View,47.6077793,-122.327123
Medium Risk,First Hill,912 12th Ave,1930,1,Substantial Alteration,Commercial,11-100,Google Street View,47.6108881,-122.3163749
Critical Risk,First Hill,916 Broadway,1894,4,Permitted Retrofit,Schools,101+,Field Visit,40.7980092,-124.1756853
Medium Risk,Fremont,1604 N 34th St,1926,1,No visible retrofit,Commercial,11-100,Google Street View,47.648215,-122.338372
Medium Risk,Fremont,3400 Phinney Ave N,1905,1,Permitted Retrofit,Commercial,101+,Google Street View,47.6509749,-122.3540832
Medium Risk,Fremont,3414 Fremont Ave N,1909,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6500795,-122.3495878
Medium Risk,Fremont,3515 Fremont Ave N,1911,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6512048,-122.3501105
Medium Risk,Fremont,3600 Wallingford Ave N,1928,1,Visible retrofit,Office,11-100,Google Street View,47.6506763,-122.3360716
Medium Risk,Fremont,3640 Wallingford Ave N,1920,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6517134,-122.3360806
Critical Risk,Fremont,3921 Linden Ave N,1892,3,Permitted Retrofit,Schools,101+,Google Street View,33.8298238,-118.186798
Medium Risk,Fremont,4252 Fremont Ave N,1909,2,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,47.6588085,-122.3498302
Medium Risk,Fremont,4316 Fremont Ave N,1923,1,No visible retrofit,Commercial,10-Jan,Field Visit,47.659897,-122.3496109
Medium Risk,Fremont,731 N 35th St,1911,1,Permitted Retrofit,Government,11-100,Sandborn Insurance Maps,47.6500621,-122.3484226
Medium Risk,Fremont,615 N 35th St,1907,2,No visible retrofit,Commercial,101+,Photos from Previous Surveys,47.6504404,-122.3505637
High Risk,Fremont,619 N 36th St,1909,3,Permitted Retrofit,Public Assembly,101+,Photos from Previous Surveys,36.778261,-119.4179324
High Risk,Fremont,708 N 35th St,1907,4,Visible retrofit,Residential,11-100,Google Street View,47.6506458,-122.3492839
Medium Risk,Georgetown,1205 S Vale St,1914,2,No visible retrofit,Commercial/Residential,101+,Sandborn Insurance Maps,47.5489895,-122.3170821
Medium Risk,Georgetown,1210 S Bailey St,1928,1,No visible retrofit,Commercial,11-100,Google Street View,47.5479857,-122.3169557
